reviewer_name,rating,date,review_text,wisata,visit_time
Rhara Saadah,5,1 minggu lalu,BARU Kesini lagi setelah lama. Tidak banyak yang berubah untuk tata letak bangunannya. Sayang sekali bianglala besarnya sedang tidak beroperasi. Banyak pedagang makanan di dekat area parkir. Tarif parkir 2000 rupiah. Termasuk murah untuk kawasan wisata. Jajan disekitar juga banyak yang murah Ada beberapa sarana permainan gratis untuk anak anak.,Alun Alun Kota Wisata Batu,Tidak diketahui
EmSu,5,1 bulan lalu,Luas dan cocok untuk anak anak Restroom tersedia hanya saja kebersihannya kurang Not sure,Alun Alun Kota Wisata Batu,Tidak diketahui
Incendio Leviosha,5,1 minggu lalu,"BARU tempatnya ga seberapa luas ya, dikelilingi sama wisata kuliner sama masjid.. ada wahana bianglala, komedi putar dan apalagi lupa.. bayar berapa ya, pokoknya ga sampe 10ribu kok.. ada juga dipojokan playground anak.. gratis toilet nya ada, tapi perlu dibenahi tengah² ada air mancur.. sekitar alun² ada pasar besar kayaknya ya.. jual aneka cemilan dan makanan cuma saran aja sih, perbanyak bangku buat duduk di dalam area alun² yg ada kanopi nya.. apa emang sengaja gitu jadi kalo pengunjung mau berteduh yaudah ke tempat makan aja, sekalian 🤣🤣🤣  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Juhaidah Amalia Putri,4,2 bulan lalu,"Lumayan luas tapi tempat dudukan kurang banyak, tempat asri ga terlalu panas kena sinar matahari karena banyak pohon-pohon, lebih bagus kalau malem kesini ada lampu-lampunya. Ada delman, sepur kelinci kalau ngga salah per orang 10rb buat keliling alun-alun, sewa sepeda listrik. Banyak wisata kuliner nya tinggal pilih aja dari yg kaki 5 sampai yg di ruko sama-sama enak, terutama yg aku coba roti koin harga 15rb untuk 1 porsi dapat 2 lapis.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Luv U,5,1 minggu lalu,"BARU Enak buat jalan-jalan malam hari Makanan berlimpah jenis bahkan dari berbagai negara (truly Asian) Harga makanan terjangkau Ada taman bermain Yg kurang WCnya, gelap, kurang terawat, dan hiiii, mending cari toilet ke tempat lain Cocok buat anak-anak, orang tua wajib mengawasi yaaa Hiiiiii Mending cari toilet lain di luar alun-alun Jangan dibawa lah Bukan wilayahnya",Alun Alun Kota Wisata Batu,Tidak diketahui
Mas Ikawe,5,1 bulan lalu,"Tempat bersantai dimalam hari sambil kulineran tinggal pilih saja mau cafe, PKL, atau pujasera sangat lengkap menunya dan harganya pun terjangkau, bisa ajak keluarga naik kuda atau kereta kelinci, fasilitas toilet gratis dan taman bermain untuk anak2  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Agung Juniansyah,5,1 bulan lalu,Kedua kali nya main ke alun alun kota malang. Sudah banyak sekali perubahan. Sekarang lebih tertata rapih. Sarana dan prasaranya sudah memadai. Senang berkunjung ke alun alun kota malang di malam hari. Nongkrong sambil menikamati udaranya dingin. Didukung banyak terdapat kuliner di sekitar alun alun makin betah. Jangan lupa bawa jaket ya..  ,Alun Alun Kota Wisata Batu,Tidak diketahui
Joseph (鍾振文),4,3 bulan lalu,Ada perosotan khusus anak2 Cukup bersih tapi ga bersih2 sekali.. pencahayaan minim kurang terang. ❌❌,Alun Alun Kota Wisata Batu,Tidak diketahui
Tria Meni,5,1 minggu lalu,"BARU Kota Batu juga ada alun alunnya yang dibangun untuk jadi salah satu wisata yang gratis, ada tempat permainan anak anak, ada taman air mancur, ada tempat duduk, jadi kita bisa santai sambil melepas lelah, ada pohon besar yg bisa dijadikan tempat berteduh, sekitar alun alun banyak yg menjual makanan dan berbagai jajanan.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
Hamid Abdul,5,1 minggu lalu,"BARU Tempat yang jadi kunjungan para pelancong karena sudah menjadi salah satu icon kota batu juga, tempat yang ramai tapi sayang untuk tempat duduk kurang, di sekitar juga terdapat masjid besar dan plaza batu.  ",Alun Alun Kota Wisata Batu,Tidak diketahui
